"","Site","Species1","Species2","Species3","Species4","Species5","Species6","Species7","Species8","Species9","Species10","Species11","Species12","Abiotic_var1","Abiotic_var3"
"1",1,7.57613013075872,2.81344745308748e-17,0.823311360218937,4.66752601337445e-06,1.11648776891686,1.69481667345431,1.17714868329393,2.91066937664464,0.956922672774052,1.00104299029644,0.999970725354786,0.996809572281723,0,0
"2",2,9.01623337308818,2.02363725477792e-07,0.762181308108621,3.65643456979015e-06,1.90506601891115,1.26567335641468,2.24768012204694,2.0194528702879,0.952109332716763,0.999371706851776,0.999274086501469,0.999328225212355,0,0
"3",3,9.14370195968118,7.6820660337744e-19,0.721883165842551,0.000239108773891171,0.980674247938457,1.59542238633305,1.6775926912883,3.84637906947137,0.959076275138848,1.00103513044463,1.0001548724702,0.99913636125312,0,0
"4",4,8.2778718517798,4.92625630597312e-06,0.729212089216543,4.95360831609095e-05,1.09152626289063,1.97915922907149,1.4614137506471,2.83199532481051,0.980255294089868,1.00089844402712,1.00015835758751,0.987790003372179,0,0
"5",5,7.5959612778118,6.30992120989402e-53,0.851520096614527,5.17992550890002e-05,1.30790788316493,1.61793957431881,1.37982974399194,5.97673620659092,0.976786004973287,1.00103902065506,1.00003469889171,0.997767902976358,0,0
"6",6,9.76789166946864,1.12974142848848e-140,0.66288542554636,1.334336053567e-06,2.20809012064239,1.6056741554484,1.12458575255734,12.3761133389431,0.981061917889733,1.00033046950425,0.997916806075056,0.999884282341552,0,0
"7",7,7.98430877750073,1.4730143032072e-13,0.804105849706823,3.69037141085375e-05,1.74675135327382,1.49993031819072,1.02102244599682,4.04366818600913,0.969963393065707,0.998515408884667,0.997284992030762,0.995182644879535,0,0
"8",8,7.88176212526703,4.14723728446778e-11,0.795270428476131,4.65832804642302e-07,1.47145667357614,1.7721862936218,1.85266367286412,3.22629420042063,0.960106097790001,0.999831228646324,0.998965423214664,0.994646481935427,0,0
"9",9,8.86762143701368,0,0.710432137657243,8.4178345713294e-05,1.50855014260944,1.033944431762,1.47421092579588,84.2590219195858,0.967756997973365,1.00092882911491,0.998182606866788,0.99557214694363,0,0
"10",10,8.57731748829668,2.08319652638023e-25,0.665131283132156,1.55768550672877e-06,1.56529108517595,1.65973986518103,1.33371992972521,3.48546706182717,0.971306362444474,1.00026664015004,0.999347901977272,0.996958608750784,0,0
"11",11,7.32304189423944,5.74078201258747e-06,0.951786095515308,4.09662072412721e-05,1.5629739063953,1.59970807706575,1.83967442349162,2.81366086005509,0.966940899927526,1.00087472533209,0.998596792538311,0.998117494366417,0,0
"12",12,8.01076718337848,2.44080950969309e-50,0.851367832719295,1.57225097685545e-10,1.21255888738348,1.214725280534,2.32447632448049,14.515232275148,0.971312475293141,1.00064221478746,1.00000427702187,0.990241046984422,0,0
